eom,target_month,mask,loss,baseline_loss,delta_abs,delta_rel,importance,rank
2016-09-30,2016-10-31,Profitability,3.1580216993191454,3.152162539555757,0.005859159763388355,0.0018587746316578277,0.009640632467606346,10.0
2016-09-30,2016-10-31,Investment,3.1530347214314896,3.152162539555757,0.0008721818757324584,0.0002766931796148359,0.001435083740399932,11.0
2016-09-30,2016-10-31,Accruals,3.152362293657526,3.152162539555757,0.00019975410176886754,6.337049541773295e-05,0.00032867441012341005,12.0
2016-09-30,2016-10-31,DebtIssuance,3.1492665620738425,3.152162539555757,-0.0028959774819146133,-0.0009187272057115276,0.0,13.0
2016-09-30,2016-10-31,ALL,3.152162539555757,3.152162539555757,0.0,0.0,0.0,
2016-10-31,2016-11-30,Value,3.0952349647467625,3.0240255342408995,0.07120943050586304,0.023547893263321355,0.4202122249074552,1.0
2016-10-31,2016-11-30,LowRisk,3.07457244298426,3.0240255342408995,0.05054690874336032,0.016715106460253076,0.29828112420436653,2.0
2016-10-31,2016-11-30,Quality,3.0403603757972597,3.0240255342408995,0.016334841556360225,0.005401687707792669,0.09639313311659937,3.0
2016-10-31,2016-11-30,LowLeverage,3.037708168460604,3.0240255342408995,0.013682634219704504,0.004524642422749635,0.08074225741186788,4.0
2016-10-31,2016-11-30,Momentum,3.0342683261606886,3.0240255342408995,0.010242791919789163,0.00338713803961326,0.060443488331567624,5.0
2016-10-31,2016-11-30,ProfitGrowth,3.0274670227969787,3.0240255342408995,0.0034414885560791753,0.0011380487754191761,0.020308483762196444,6.0
2016-10-31,2016-11-30,DebtIssuance,3.0264703607684393,3.0240255342408995,0.002444826527539856,0.0008084675542111665,0.0144271058952747,7.0
2016-10-31,2016-11-30,Investment,3.025583247303307,3.0240255342408995,0.0015577130624073732,0.0005151124039031619,0.009192182370672292,8.0
2016-10-31,2016-11-30,Accruals,3.023216174898497,3.0240255342408995,-0.0008093593424023382,-0.0002676430252449922,0.0,9.0
2016-10-31,2016-11-30,Profitability,3.0213896414019863,3.0240255342408995,-0.0026358928389131897,-0.0008716503247300986,0.0,10.0
2016-10-31,2016-11-30,Seasonality,3.0202107211099625,3.0240255342408995,-0.0038148131309370115,-0.0012615016268024398,0.0,11.0
2016-10-31,2016-11-30,ShortTermReversal,3.0006224858352795,3.0240255342408995,-0.02340304840562002,-0.0077390379613625606,0.0,12.0
2016-10-31,2016-11-30,Size,3.01977514846937,3.0240255342408995,-0.004250385771529697,-0.0014055389821953479,0.0,13.0
2016-10-31,2016-11-30,ALL,3.0240255342408995,3.0240255342408995,0.0,0.0,0.0,
2016-11-30,2016-12-31,Value,3.023746194591869,2.9627124198757397,0.06103377471612914,0.02060064092170275,0.37393168461633697,1.0
2016-11-30,2016-12-31,LowRisk,3.0128300446622127,2.9627124198757397,0.05011762478647297,0.016916128764389145,0.30705241405334266,2.0
2016-11-30,2016-12-31,Quality,2.985900819537021,2.9627124198757397,0.023188399661281167,0.007826746702014947,0.14206687017521705,3.0
2016-11-30,2016-12-31,Momentum,2.974970328802722,2.9627124198757397,0.012257908926982086,0.004137394113835794,0.07509973873086949,4.0
2016-11-30,2016-12-31,LowLeverage,2.9740334559562385,2.9627124198757397,0.011321036080498725,0.003821172789012558,0.06935986038668694,5.0
2016-11-30,2016-12-31,ProfitGrowth,2.967960994175491,2.9627124198757397,0.00524857429975123,0.0017715436248690523,0.032156101091046205,6.0
2016-11-30,2016-12-31,Investment,2.9627668267279312,2.9627124198757397,5.4406852191490884e-05,1.8363865431722457e-05,0.00033333094650067396,7.0
2016-11-30,2016-12-31,Accruals,2.961213694968596,2.9627124198757397,-0.0014987249071438669,-0.000505862431024178,0.0,8.0
2016-11-30,2016-12-31,DebtIssuance,2.96240699242127,2.9627124198757397,-0.00030542745446959785,-0.00010309048303865007,0.0,9.0
2016-11-30,2016-12-31,Profitability,2.9528837340815888,2.9627124198757397,-0.009828685794150971,-0.0033174619744440804,0.0,10.0
2016-11-30,2016-12-31,Seasonality,2.9479760948606977,2.9627124198757397,-0.014736325015042073,-0.0049739302796253625,0.0,11.0
2016-11-30,2016-12-31,ShortTermReversal,2.9366390368782986,2.9627124198757397,-0.026073382997441108,-0.008800510917807765,0.0,12.0
2016-11-30,2016-12-31,Size,2.9566942875743014,2.9627124198757397,-0.006018132301438328,-0.002031291414267854,0.0,13.0
2016-11-30,2016-12-31,ALL,2.9627124198757397,2.9627124198757397,0.0,0.0,0.0,
2016-12-31,2017-01-31,LowRisk,3.0525635902125448,3.0278424595691282,0.024721130643416522,0.008164602674517756,0.4875806588496629,1.0
2016-12-31,2017-01-31,Quality,3.0388652756039223,3.0278424595691282,0.011022816034794047,0.003640485323124318,0.2174055864251013,2.0
2016-12-31,2017-01-31,LowLeverage,3.0330340111789234,3.0278424595691282,0.00519155160979512,0.0017146042699110226,0.10239419025238,3.0
2016-12-31,2017-01-31,DebtIssuance,3.032153890552878,3.0278424595691282,0.004311430983749975,0.0014239284379292,0.08503536468310731,4.0
2016-12-31,2017-01-31,ProfitGrowth,3.0309783792061027,3.0278424595691282,0.00313591963697446,0.0010356944520226827,0.06185047863507789,5.0
2016-12-31,2017-01-31,Momentum,3.0301612334477754,3.0278424595691282,0.0023187738786472067,0.0007658172146040834,0.04573372115467058,6.0
2016-12-31,2017-01-31,Accruals,3.0254257544747234,3.0278424595691282,-0.0024167050944048363,-0.0007981607784008489,0.0,7.0
2016-12-31,2017-01-31,Investment,3.0253031722570336,3.0278424595691282,-0.002539287312094629,-0.0008386457835907282,0.0,8.0
2016-12-31,2017-01-31,Profitability,3.0187170389292843,3.0278424595691282,-0.009125420639843895,-0.003013836010854565,0.0,9.0
2016-12-31,2017-01-31,Seasonality,3.0222911958699132,3.0278424595691282,-0.005551263699214992,-0.0018334057248159982,0.0,10.0
2016-12-31,2017-01-31,ShortTermReversal,3.022298708500292,3.0278424595691282,-0.005543751068836311,-0.001830924542099593,0.0,11.0
2016-12-31,2017-01-31,Size,3.005437226859013,3.0278424595691282,-0.022405232710115186,-0.0073997352931313085,0.0,12.0
2016-12-31,2017-01-31,Value,3.021333213724581,3.0278424595691282,-0.006509245844547262,-0.0021497967385904052,0.0,13.0
2016-12-31,2017-01-31,ALL,3.0278424595691282,3.0278424595691282,0.0,0.0,0.0,
2017-01-31,2017-02-28,Quality,3.071953493502104,3.029530016609901,0.04242347689220294,0.01400331954448683,0.30530770923360434,1.0
2017-01-31,2017-02-28,Momentum,3.067632437352883,3.029530016609901,0.03810242074298209,0.012577007170775418,0.2742104995979918,2.0
2017-01-31,2017-02-28,LowRisk,3.0593945175060817,3.029530016609901,0.029864500896180868,0.009857799966477898,0.214924919501204,3.0
2017-01-31,2017-02-28,ProfitGrowth,3.04141935202115,3.029530016609901,0.011889335411249036,0.003924481799508103,0.08556360828090356,4.0
2017-01-31,2017-02-28,Investment,3.038372525880233,3.029530016609901,0.008842509270332144,0.002918772622106934,0.06363660989083607,5.0
